InventoryID,Item,Store,Brand,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,PayAmount
ITEM_0013_6,ITEM_0013,6,5,10,VENDOR_010,3422,2024-11-18,2024-11-23,2024-11-20,2024-12-01,76.0,60,4588.0
ITEM_0013_9,ITEM_0013,9,5,10,VENDOR_010,1766,2024-11-18,2024-11-22,2024-11-19,2024-12-06,76.0,48,3670.0
ITEM_0014_4,ITEM_0014,4,6,3,VENDOR_003,2836,2024-11-18,2024-11-20,2024-11-22,2024-12-02,25.0,9,226.0
ITEM_0014_8,ITEM_0014,8,6,8,VENDOR_008,9178,2024-11-18,2024-11-27,2024-11-19,2024-11-30,25.0,32,804.0
ITEM_0015_1,ITEM_0015,1,3,6,VENDOR_006,8473,2024-11-18,2024-11-22,2024-11-20,2024-12-04,96.0,40,3846.0
ITEM_0015_3,ITEM_0015,3,3,6,VENDOR_006,2611,2024-11-18,2024-11-24,2024-11-20,2024-11-30,96.0,68,6538.0
ITEM_0015_4,ITEM_0015,4,3,4,VENDOR_004,1173,2024-11-19,2024-11-22,2024-11-23,2024-12-05,96.0,54,5192.0
ITEM_0015_5,ITEM_0015,5,3,10,VENDOR_010,1259,2024-11-18,2024-11-23,2024-11-19,2024-11-30,96.0,81,7788.0
ITEM_0015_6,ITEM_0015,6,3,10,VENDOR_010,9139,2024-11-19,2024-11-24,2024-11-21,2024-12-03,96.0,68,6538.0
ITEM_0015_8,ITEM_0015,8,3,5,VENDOR_005,4342,2024-11-18,2024-11-23,2024-11-20,2024-12-02,96.0,95,9133.0
ITEM_0015_9,ITEM_0015,9,3,10,VENDOR_010,3472,2024-11-24,2024-11-28,2024-11-25,2024-12-07,96.0,54,5192.0
ITEM_0015_10,ITEM_0015,10,3,4,VENDOR_004,7817,2024-11-18,2024-11-24,2024-11-19,2024-11-30,96.0,95,9133.0
ITEM_0016_5,ITEM_0016,5,2,10,VENDOR_010,8211,2024-11-18,2024-11-25,2024-11-19,2024-12-01,35.0,65,2278.0
ITEM_0016_6,ITEM_0016,6,2,10,VENDOR_010,9063,2024-11-18,2024-11-22,2024-11-22,2024-11-29,35.0,54,1892.0
ITEM_0016_9,ITEM_0016,9,2,10,VENDOR_010,6068,2024-11-18,2024-11-22,2024-11-22,2024-12-03,35.0,43,1507.0
ITEM_0017_5,ITEM_0017,5,4,8,VENDOR_008,8561,2024-11-21,2024-11-29,2024-11-25,2024-12-01,83.0,29,2403.0
ITEM_0017_8,ITEM_0017,8,4,5,VENDOR_005,6698,2024-11-18,2024-11-27,2024-11-20,2024-12-07,83.0,34,2818.0
ITEM_0018_5,ITEM_0018,5,6,8,VENDOR_008,6555,2024-11-29,2024-12-06,2024-12-02,2024-12-13,29.0,31,914.0
ITEM_0019_1,ITEM_0019,1,3,10,VENDOR_010,2454,2024-11-18,2024-11-20,2024-11-21,2024-12-02,75.0,66,4917.0
ITEM_0019_3,ITEM_0019,3,3,6,VENDOR_006,4510,2024-11-18,2024-11-28,2024-11-22,2024-12-06,75.0,55,4098.0
ITEM_0019_5,ITEM_0019,5,3,10,VENDOR_010,5126,2024-11-18,2024-11-24,2024-11-20,2024-12-02,75.0,66,4917.0
ITEM_0019_6,ITEM_0019,6,3,10,VENDOR_010,2247,2024-11-21,2024-11-26,2024-11-23,2024-12-08,75.0,55,4098.0
ITEM_0019_7,ITEM_0019,7,3,5,VENDOR_005,8941,2024-11-18,2024-11-20,2024-11-22,2024-11-30,75.0,33,2459.0
ITEM_0019_8,ITEM_0019,8,3,5,VENDOR_005,8956,2024-11-25,2024-12-01,2024-11-27,2024-12-12,75.0,77,5737.0
ITEM_0019_9,ITEM_0019,9,3,10,VENDOR_010,5148,2024-11-23,2024-11-25,2024-11-25,2024-12-04,75.0,44,3278.0
ITEM_0019_10,ITEM_0019,10,3,4,VENDOR_004,7114,2024-11-20,2024-11-26,2024-11-22,2024-12-02,75.0,77,5737.0
ITEM_0020_1,ITEM_0020,1,7,10,VENDOR_010,7231,2024-11-18,2024-11-23,2024-11-19,2024-12-01,82.0,80,6541.0
ITEM_0020_5,ITEM_0020,5,7,10,VENDOR_010,2491,2024-11-18,2024-11-26,2024-11-20,2024-12-01,82.0,80,6541.0
ITEM_0020_6,ITEM_0020,6,7,1,VENDOR_001,3858,2024-11-18,2024-11-22,2024-11-22,2024-12-06,82.0,66,5396.0
ITEM_0020_10,ITEM_0020,10,7,7,VENDOR_007,1487,2024-11-18,2024-11-21,2024-11-22,2024-12-06,82.0,53,4333.0
ITEM_0021_1,ITEM_0021,1,2,10,VENDOR_010,6989,2024-11-20,2024-11-27,2024-11-23,2024-12-07,85.0,69,5854.0
ITEM_0021_5,ITEM_0021,5,2,10,VENDOR_010,7164,2024-11-18,2024-11-23,2024-11-21,2024-12-04,85.0,69,5854.0
ITEM_0021_6,ITEM_0021,6,2,10,VENDOR_010,7344,2024-11-18,2024-11-23,2024-11-21,2024-11-28,85.0,57,4836.0
ITEM_0022_1,ITEM_0022,1,7,10,VENDOR_010,3806,2024-11-18,2024-11-25,2024-11-22,2024-12-01,34.0,50,1705.0
ITEM_0022_5,ITEM_0022,5,7,10,VENDOR_010,7972,2024-11-18,2024-11-22,2024-11-20,2024-12-06,34.0,50,1705.0
ITEM_0022_9,ITEM_0022,9,7,10,VENDOR_010,9737,2024-11-18,2024-11-20,2024-11-21,2024-12-06,34.0,33,1126.0
ITEM_0023_10,ITEM_0023,10,1,4,VENDOR_004,4046,2024-11-18,2024-11-24,2024-11-20,2024-11-30,12.0,46,551.0
ITEM_0024_3,ITEM_0024,3,3,6,VENDOR_006,7593,2024-11-18,2024-11-23,2024-11-20,2024-12-02,48.0,65,3098.0
ITEM_0024_4,ITEM_0024,4,3,4,VENDOR_004,1089,2024-11-24,2024-11-28,2024-11-27,2024-12-04,48.0,52,2478.0
ITEM_0024_5,ITEM_0024,5,3,10,VENDOR_010,4766,2024-11-18,2024-11-26,2024-11-22,2024-12-02,48.0,78,3718.0
ITEM_0024_6,ITEM_0024,6,3,10,VENDOR_010,1751,2024-11-18,2024-11-22,2024-11-21,2024-12-04,48.0,65,3098.0
ITEM_0024_8,ITEM_0024,8,3,5,VENDOR_005,5616,2024-11-25,2024-12-01,2024-11-28,2024-12-08,48.0,91,4337.0
ITEM_0024_9,ITEM_0024,9,3,10,VENDOR_010,3172,2024-11-22,2024-11-24,2024-11-26,2024-12-06,48.0,52,2478.0
ITEM_0024_10,ITEM_0024,10,3,4,VENDOR_004,1661,2024-11-18,2024-11-23,2024-11-19,2024-11-28,48.0,91,4337.0
ITEM_0025_10,ITEM_0025,10,1,2,VENDOR_002,8608,2024-11-18,2024-11-24,2024-11-19,2024-12-07,41.0,42,1716.0
ITEM_0026_1,ITEM_0026,1,6,8,VENDOR_008,7676,2024-11-18,2024-11-19,2024-11-19,2024-12-07,19.0,104,2006.0
ITEM_0026_2,ITEM_0026,2,6,8,VENDOR_008,6655,2024-11-21,2024-11-25,2024-11-23,2024-12-05,19.0,74,1427.0
ITEM_0026_4,ITEM_0026,4,6,3,VENDOR_003,1472,2024-11-18,2024-11-19,2024-11-20,2024-11-30,19.0,29,559.0
ITEM_0026_5,ITEM_0026,5,6,8,VENDOR_008,5898,2024-11-18,2024-12-01,2024-11-19,2024-12-05,19.0,89,1716.0
ITEM_0026_6,ITEM_0026,6,6,3,VENDOR_003,4747,2024-11-18,2024-11-20,2024-11-22,2024-12-04,19.0,29,559.0
ITEM_0026_8,ITEM_0026,8,6,8,VENDOR_008,6568,2024-11-18,2024-11-19,2024-11-22,2024-12-07,19.0,104,2006.0
ITEM_0026_10,ITEM_0026,10,6,7,VENDOR_007,1818,2024-11-18,2024-11-21,2024-11-19,2024-12-01,19.0,59,1138.0
ITEM_0027_9,ITEM_0027,9,8,9,VENDOR_009,6678,2024-11-22,2024-11-26,2024-11-23,2024-12-08,91.0,24,2176.0
ITEM_0028_1,ITEM_0028,1,3,10,VENDOR_010,4001,2024-11-18,2024-11-27,2024-11-20,2024-11-29,11.0,50,575.0
ITEM_0028_4,ITEM_0028,4,3,4,VENDOR_004,6275,2024-11-18,2024-11-22,2024-11-19,2024-12-03,11.0,33,379.0
ITEM_0028_5,ITEM_0028,5,3,10,VENDOR_010,2999,2024-11-23,2024-11-28,2024-11-27,2024-12-07,11.0,50,575.0
ITEM_0028_8,ITEM_0028,8,3,5,VENDOR_005,8409,2024-11-18,2024-11-23,2024-11-21,2024-12-05,11.0,59,678.0
ITEM_0028_9,ITEM_0028,9,3,10,VENDOR_010,4121,2024-11-18,2024-11-21,2024-11-19,2024-12-03,11.0,33,379.0
ITEM_0029_1,ITEM_0029,1,7,10,VENDOR_010,3354,2024-11-18,2024-11-24,2024-11-19,2024-12-01,65.0,81,5279.0
ITEM_0029_5,ITEM_0029,5,7,10,VENDOR_010,8492,2024-11-18,2024-11-22,2024-11-22,2024-12-06,65.0,81,5279.0
ITEM_0029_9,ITEM_0029,9,7,10,VENDOR_010,9696,2024-11-18,2024-11-20,2024-11-19,2024-12-02,65.0,54,3520.0
ITEM_0029_10,ITEM_0029,10,7,7,VENDOR_007,1946,2024-11-18,2024-11-22,2024-11-19,2024-12-01,65.0,54,3520.0
ITEM_0030_5,ITEM_0030,5,9,2,VENDOR_002,6500,2024-11-18,2024-11-22,2024-11-19,2024-12-04,37.0,74,2748.0
ITEM_0030_10,ITEM_0030,10,9,7,VENDOR_007,1582,2024-11-20,2024-11-24,2024-11-24,2024-11-30,37.0,49,1820.0
ITEM_0031_4,ITEM_0031,4,9,2,VENDOR_002,9270,2024-11-20,2024-11-21,2024-11-24,2024-12-03,96.0,26,2495.0
ITEM_0031_5,ITEM_0031,5,9,2,VENDOR_002,6491,2024-11-18,2024-11-24,2024-11-22,2024-11-28,96.0,79,7581.0
ITEM_0031_9,ITEM_0031,9,9,9,VENDOR_009,8787,2024-11-20,2024-11-24,2024-11-22,2024-12-07,96.0,53,5086.0
ITEM_0031_10,ITEM_0031,10,9,2,VENDOR_002,7350,2024-11-18,2024-11-24,2024-11-21,2024-12-05,96.0,79,7581.0
ITEM_0032_3,ITEM_0032,3,1,2,VENDOR_002,6581,2024-11-18,2024-11-21,2024-11-21,2024-11-28,21.0,52,1106.0
ITEM_0032_4,ITEM_0032,4,1,4,VENDOR_004,5819,2024-11-21,2024-11-25,2024-11-25,2024-12-04,21.0,52,1106.0
ITEM_0032_5,ITEM_0032,5,1,2,VENDOR_002,9365,2024-11-18,2024-11-24,2024-11-22,2024-11-30,21.0,78,1660.0
ITEM_0032_6,ITEM_0032,6,1,1,VENDOR_001,3277,2024-11-18,2024-11-23,2024-11-21,2024-11-29,21.0,65,1383.0
ITEM_0032_10,ITEM_0032,10,1,2,VENDOR_002,4135,2024-11-18,2024-11-23,2024-11-19,2024-11-29,21.0,78,1660.0
ITEM_0033_1,ITEM_0033,1,6,8,VENDOR_008,1887,2024-11-23,2024-11-24,2024-11-25,2024-12-03,30.0,38,1137.0
ITEM_0033_5,ITEM_0033,5,6,3,VENDOR_003,8618,2024-11-18,2024-11-22,2024-11-20,2024-11-30,30.0,27,808.0
ITEM_0033_8,ITEM_0033,8,6,8,VENDOR_008,5115,2024-11-24,2024-12-01,2024-11-26,2024-12-11,30.0,38,1137.0
ITEM_0034_2,ITEM_0034,2,10,3,VENDOR_003,7626,2024-11-18,2024-11-20,2024-11-20,2024-11-29,74.0,25,1861.0
ITEM_0034_3,ITEM_0034,3,10,2,VENDOR_002,7776,2024-11-18,2024-11-21,2024-11-19,2024-12-04,74.0,34,2531.0
ITEM_0034_5,ITEM_0034,5,10,3,VENDOR_003,4847,2024-11-18,2024-11-23,2024-11-20,2024-12-03,74.0,42,3126.0
ITEM_0034_7,ITEM_0034,7,10,5,VENDOR_005,5400,2024-11-21,2024-11-23,2024-11-24,2024-12-06,74.0,25,1861.0
ITEM_0034_8,ITEM_0034,8,10,5,VENDOR_005,3476,2024-11-18,2024-11-23,2024-11-20,2024-12-04,74.0,59,4392.0
ITEM_0035_9,ITEM_0035,9,9,9,VENDOR_009,1041,2024-11-24,2024-11-27,2024-11-26,2024-12-07,32.0,26,842.0
ITEM_0035_10,ITEM_0035,10,9,2,VENDOR_002,3554,2024-11-24,2024-11-29,2024-11-25,2024-12-12,32.0,40,1295.0
ITEM_0036_6,ITEM_0036,6,5,10,VENDOR_010,5034,2024-11-19,2024-11-23,2024-11-21,2024-12-01,50.0,23,1159.0
ITEM_0037_3,ITEM_0037,3,1,2,VENDOR_002,5285,2024-11-18,2024-11-22,2024-11-20,2024-11-30,35.0,21,729.0
ITEM_0037_4,ITEM_0037,4,1,4,VENDOR_004,3503,2024-11-22,2024-11-25,2024-11-24,2024-12-04,35.0,21,729.0
ITEM_0037_5,ITEM_0037,5,1,2,VENDOR_002,3662,2024-11-18,2024-11-22,2024-11-20,2024-12-02,35.0,32,1110.0
ITEM_0038_3,ITEM_0038,3,5,6,VENDOR_006,6410,2024-11-18,2024-11-25,2024-11-19,2024-12-02,38.0,25,938.0
ITEM_0038_5,ITEM_0038,5,5,10,VENDOR_010,5574,2024-11-18,2024-11-24,2024-11-22,2024-11-28,38.0,30,1126.0
ITEM_0039_1,ITEM_0039,1,4,8,VENDOR_008,4084,2024-12-03,2024-12-06,2024-12-04,2024-12-19,27.0,60,1626.0
ITEM_0039_5,ITEM_0039,5,4,8,VENDOR_008,8176,2024-11-18,2024-11-19,2024-11-20,2024-11-30,27.0,52,1409.0
ITEM_0039_6,ITEM_0039,6,4,5,VENDOR_005,1009,2024-11-18,2024-11-21,2024-11-19,2024-11-29,27.0,43,1165.0
ITEM_0039_8,ITEM_0039,8,4,5,VENDOR_005,7807,2024-11-25,2024-12-02,2024-11-28,2024-12-06,27.0,60,1626.0
ITEM_0039_9,ITEM_0039,9,4,9,VENDOR_009,5838,2024-11-18,2024-11-21,2024-11-22,2024-12-03,27.0,34,921.0
ITEM_0040_3,ITEM_0040,3,10,2,VENDOR_002,9656,2024-11-18,2024-11-22,2024-11-21,2024-12-02,62.0,48,2990.0
ITEM_0040_4,ITEM_0040,4,10,2,VENDOR_002,5940,2024-11-19,2024-11-21,2024-11-21,2024-12-08,62.0,24,1495.0
ITEM_0040_5,ITEM_0040,5,10,3,VENDOR_003,8429,2024-11-18,2024-11-22,2024-11-19,2024-12-05,62.0,60,3737.0
ITEM_0040_6,ITEM_0040,6,10,5,VENDOR_005,9527,2024-11-18,2024-11-23,2024-11-19,2024-11-29,62.0,60,3737.0
ITEM_0040_8,ITEM_0040,8,10,5,VENDOR_005,4778,2024-11-18,2024-11-25,2024-11-19,2024-12-03,62.0,84,5232.0
ITEM_0040_10,ITEM_0040,10,10,2,VENDOR_002,1949,2024-11-18,2024-11-24,2024-11-21,2024-12-02,62.0,72,4485.0
ITEM_0041_5,ITEM_0041,5,9,2,VENDOR_002,7699,2024-11-22,2024-11-27,2024-11-25,2024-12-11,54.0,39,2124.0
ITEM_0042_5,ITEM_0042,5,10,3,VENDOR_003,8692,2024-11-18,2024-11-23,2024-11-22,2024-11-30,19.0,36,681.0
ITEM_0042_8,ITEM_0042,8,10,5,VENDOR_005,9097,2024-11-18,2024-11-23,2024-11-19,2024-12-01,19.0,51,964.0
ITEM_0042_10,ITEM_0042,10,10,2,VENDOR_002,9319,2024-11-18,2024-11-23,2024-11-19,2024-12-07,19.0,43,813.0
ITEM_0043_3,ITEM_0043,3,9,2,VENDOR_002,3706,2024-11-18,2024-11-21,2024-11-22,2024-12-01,21.0,57,1206.0
ITEM_0043_5,ITEM_0043,5,9,2,VENDOR_002,9054,2024-11-24,2024-11-30,2024-11-27,2024-12-04,21.0,86,1819.0
ITEM_0044_1,ITEM_0044,1,1,6,VENDOR_006,8570,2024-11-18,2024-11-22,2024-11-20,2024-12-05,82.0,20,1649.0
ITEM_0045_2,ITEM_0045,2,6,8,VENDOR_008,3654,2024-11-18,2024-11-30,2024-11-22,2024-12-07,20.0,48,952.0
ITEM_0045_3,ITEM_0045,3,6,6,VENDOR_006,9756,2024-11-19,2024-11-27,2024-11-20,2024-12-02,20.0,48,952.0
ITEM_0045_5,ITEM_0045,5,6,3,VENDOR_003,2445,2024-11-21,2024-11-25,2024-11-23,2024-12-04,20.0,48,952.0
ITEM_0045_8,ITEM_0045,8,6,8,VENDOR_008,7036,2024-12-03,2024-12-12,2024-12-06,2024-12-13,20.0,68,1349.0
ITEM_0046_1,ITEM_0046,1,7,10,VENDOR_010,4528,2024-11-18,2024-11-23,2024-11-20,2024-12-05,43.0,53,2275.0
ITEM_0046_5,ITEM_0046,5,7,10,VENDOR_010,7988,2024-11-27,2024-12-03,2024-11-29,2024-12-16,43.0,53,2275.0
ITEM_0046_6,ITEM_0046,6,7,10,VENDOR_010,6441,2024-11-18,2024-11-22,2024-11-20,2024-12-05,43.0,44,1889.0
ITEM_0046_9,ITEM_0046,9,7,10,VENDOR_010,7780,2024-11-18,2024-11-21,2024-11-22,2024-12-02,43.0,35,1502.0
ITEM_0047_3,ITEM_0047,3,10,2,VENDOR_002,8295,2024-11-21,2024-11-24,2024-11-23,2024-12-07,19.0,44,844.0
ITEM_0047_5,ITEM_0047,5,10,2,VENDOR_002,6268,2024-11-18,2024-11-23,2024-11-21,2024-11-29,19.0,66,1267.0
ITEM_0047_7,ITEM_0047,7,10,5,VENDOR_005,9502,2024-11-18,2024-11-20,2024-11-22,2024-12-05,19.0,33,633.0
ITEM_0047_8,ITEM_0047,8,10,5,VENDOR_005,9671,2024-11-18,2024-11-25,2024-11-20,2024-12-07,19.0,77,1478.0
ITEM_0047_10,ITEM_0047,10,10,5,VENDOR_005,7592,2024-11-18,2024-11-19,2024-11-20,2024-11-30,19.0,22,422.0
ITEM_0048_1,ITEM_0048,1,5,10,VENDOR_010,2107,2024-11-23,2024-11-28,2024-11-26,2024-12-06,31.0,62,1923.0
ITEM_0048_3,ITEM_0048,3,5,6,VENDOR_006,6569,2024-11-20,2024-11-23,2024-11-21,2024-12-01,31.0,52,1613.0
ITEM_0049_3,ITEM_0049,3,9,2,VENDOR_002,6462,2024-11-18,2024-11-21,2024-11-22,2024-11-28,73.0,47,3411.0
ITEM_0049_5,ITEM_0049,5,9,2,VENDOR_002,3748,2024-11-18,2024-11-24,2024-11-22,2024-11-28,73.0,71,5153.0
ITEM_0049_9,ITEM_0049,9,9,9,VENDOR_009,7463,2024-11-18,2024-11-21,2024-11-22,2024-11-28,73.0,47,3411.0
ITEM_0049_10,ITEM_0049,10,9,2,VENDOR_002,2373,2024-11-27,2024-12-01,2024-11-29,2024-12-09,73.0,71,5153.0
ITEM_0050_3,ITEM_0050,3,3,6,VENDOR_006,3992,2024-11-18,2024-11-30,2024-11-21,2024-12-05,48.0,73,3523.0
ITEM_0050_5,ITEM_0050,5,3,10,VENDOR_010,7756,2024-11-18,2024-11-21,2024-11-19,2024-12-04,48.0,87,4199.0
ITEM_0050_6,ITEM_0050,6,3,5,VENDOR_005,3964,2024-11-18,2024-11-22,2024-11-20,2024-12-05,48.0,73,3523.0
ITEM_0050_8,ITEM_0050,8,3,5,VENDOR_005,6321,2024-11-18,2024-11-23,2024-11-20,2024-12-01,48.0,102,4923.0
ITEM_0050_9,ITEM_0050,9,3,10,VENDOR_010,2976,2024-11-18,2024-11-22,2024-11-22,2024-11-30,48.0,58,2799.0
ITEM_0002_3,ITEM_0002,3,4,7,VENDOR_007,6721,2024-11-22,2024-11-24,2024-11-23,2024-12-11,89.0,19,1698.0
ITEM_0003_1,ITEM_0003,1,6,8,VENDOR_008,3748,2024-12-04,2024-12-05,2024-12-07,2024-12-15,84.0,39,3275.0
ITEM_0005_1,ITEM_0005,1,5,10,VENDOR_010,3504,2024-11-19,2024-11-25,2024-11-22,2024-12-07,75.0,87,6515.0
ITEM_0007_3,ITEM_0007,3,7,7,VENDOR_007,2075,2024-11-19,2024-11-21,2024-11-21,2024-12-05,60.0,18,1078.0
ITEM_0009_1,ITEM_0009,1,7,10,VENDOR_010,7488,2024-11-19,2024-11-25,2024-11-23,2024-12-05,61.0,37,2244.0
ITEM_0009_9,ITEM_0009,9,7,10,VENDOR_010,8370,2024-11-20,2024-11-25,2024-11-21,2024-12-07,61.0,25,1517.0
ITEM_0012_3,ITEM_0012,3,10,2,VENDOR_002,6077,2024-11-22,2024-11-26,2024-11-25,2024-12-09,83.0,58,4805.0
ITEM_0016_1,ITEM_0016,1,2,10,VENDOR_010,3625,2024-11-29,2024-12-04,2024-12-02,2024-12-09,35.0,65,2278.0
